0; Time; S1posx; S1posy; S1posz; S2posx; S2posy; S2posz; S3posx; S3posy; S3posz; S4posx; S4posy; S4posz; S5posx; S5posy; S5posz; 
44; 0.43; -0.05696153; 1.861567; 0.07987329; 0.106909; 1.353077; -0.1504876; -0.1182538; 1.309041; -0.1680853; 0.002974407; 0.0923508; -1.040227; -0.3756088; 0.01645751; -0.9261161; 
45; 0.44; -0.05696153; 1.861567; 0.07987329; 0.106909; 1.353077; -0.1504876; -0.1182538; 1.309041; -0.1680853; 0.002974407; 0.0923508; -1.040227; -0.3756088; 0.01645751; -0.9261161; 
46; 0.45; -0.05308449; 1.861657; 0.07950255; 0.1105525; 1.345348; -0.1568691; -0.1235781; 1.310034; -0.1633718; 0.002952433; 0.09236198; -1.040262; -0.3756157; 0.01648943; -0.9260921; 
47; 0.46; -0.04902724; 1.862149; 0.07900515; 0.111641; 1.336673; -0.1619092; -0.1237527; 1.310623; -0.1613965; 0.002938549; 0.0922901; -1.040241; -0.3755961; 0.01647167; -0.9260728; 
48; 0.47; -0.04902724; 1.862149; 0.07900515; 0.111641; 1.336673; -0.1619092; -0.1237527; 1.310623; -0.1613965; 0.002938549; 0.0922901; -1.040241; -0.3755961; 0.01647167; -0.9260728; 
49; 0.48; -0.04372606; 1.862836; 0.07809694; 0.1113774; 1.325144; -0.1671896; -0.1226312; 1.309062; -0.159551; 0.00293569; 0.09228989; -1.040243; -0.3755907; 0.01647986; -0.9260767; 
50; 0.49; -0.02919446; 1.864003; 0.07470461; 0.1093407; 1.296613; -0.1762118; -0.1180937; 1.299462; -0.1586836; 0.002938811; 0.0922813; -1.040244; -0.3755846; 0.01647547; -0.926083; 
51; 0.5; -0.02049074; 1.864194; 0.07198963; 0.1083214; 1.282242; -0.1783133; -0.1151001; 1.290687; -0.1592245; 0.002927129; 0.09233131; -1.040231; -0.3755865; 0.01648955; -0.9260741; 
52; 0.51; -0.01136504; 1.864104; 0.06906169; 0.1079847; 1.271827; -0.1783468; -0.1120376; 1.278779; -0.1597697; 0.00294809; 0.09232137; -1.040266; -0.3755844; 0.01648417; -0.9260852; 
53; 0.52; -0.001791558; 1.863371; 0.06605063; 0.1089719; 1.267413; -0.1768993; -0.1087921; 1.264162; -0.1589929; 0.002964053; 0.09239341; -1.040251; -0.3755855; 0.01649883; -0.9260842; 
54; 0.53; 0.007912107; 1.86197; 0.06313886; 0.1100728; 1.26762; -0.1747406; -0.1056085; 1.248332; -0.1565276; 0.002930807; 0.09227864; -1.040235; -0.3755801; 0.01648486; -0.9260769; 
55; 0.54; 0.01762745; 1.860064; 0.06053852; 0.1105999; 1.270678; -0.1727085; -0.1022346; 1.231666; -0.1526193; 0.002938797; 0.0923021; -1.040241; -0.3755885; 0.01649139; -0.9260732; 
56; 0.55; 0.02680258; 1.857756; 0.05838443; 0.110073; 1.275566; -0.170585; -0.098526; 1.216506; -0.1475544; 0.00292011; 0.09227049; -1.040252; -0.3755889; 0.01649729; -0.9261114; 
57; 0.56; 0.03547279; 1.854703; 0.05617664; 0.107914; 1.281414; -0.1685567; -0.09558722; 1.20258; -0.1415095; 0.002930031; 0.09226976; -1.040254; -0.3756052; 0.01648068; -0.9261069; 
58; 0.57; 0.04332234; 1.851211; 0.05411184; 0.1051622; 1.287196; -0.1668027; -0.0919901; 1.191496; -0.1357125; 0.002938873; 0.09228633; -1.040274; -0.3756019; 0.01647221; -0.9260817; 
59; 0.58; 0.04332234; 1.851211; 0.05411184; 0.1051622; 1.287196; -0.1668027; -0.0919901; 1.191496; -0.1357125; 0.002938873; 0.09228633; -1.040274; -0.3756019; 0.01647221; -0.9260817; 
60; 0.59; 0.05096464; 1.848071; 0.05282478; 0.1024027; 1.292092; -0.1651668; -0.09049624; 1.183124; -0.1298923; 0.00294046; 0.09228756; -1.04025; -0.3756019; 0.01648059; -0.9261052; 
61; 0.6; 0.05096464; 1.848071; 0.05282478; 0.1024027; 1.292092; -0.1651668; -0.09049624; 1.183124; -0.1298923; 0.00294046; 0.09228756; -1.04025; -0.3756019; 0.01648059; -0.9261052; 
62; 0.61; 0.05096464; 1.848071; 0.05282478; 0.1024027; 1.292092; -0.1651668; -0.09049624; 1.183124; -0.1298923; 0.00294046; 0.09228756; -1.04025; -0.3756019; 0.01648059; -0.9261052; 
63; 0.62; 0.05096464; 1.848071; 0.05282478; 0.1024027; 1.292092; -0.1651668; -0.09049624; 1.183124; -0.1298923; 0.00294046; 0.09228756; -1.04025; -0.3756019; 0.01648059; -0.9261052; 
64; 0.63; 0.05096464; 1.848071; 0.05282478; 0.1024027; 1.292092; -0.1651668; -0.09049624; 1.183124; -0.1298923; 0.00294046; 0.09228756; -1.04025; -0.3756019; 0.01648059; -0.9261052; 
65; 0.64; 0.05096464; 1.848071; 0.05282478; 0.1024027; 1.292092; -0.1651668; -0.09049624; 1.183124; -0.1298923; 0.00294046; 0.09228756; -1.04025; -0.3756019; 0.01648059; -0.9261052; 
66; 0.65; 0.05096464; 1.848071; 0.05282478; 0.1024027; 1.292092; -0.1651668; -0.09049624; 1.183124; -0.1298923; 0.00294046; 0.09228756; -1.04025; -0.3756019; 0.01648059; -0.9261052; 
67; 0.66; 0.06233502; 1.840577; 0.04914948; 0.09767763; 1.265637; -0.1682273; -0.09302457; 1.192491; -0.1150895; 0.002966518; 0.09239043; -1.040247; -0.3756102; 0.01647485; -0.926086; 
68; 0.67; 0.05752561; 1.839685; 0.04411803; 0.09320657; 1.245393; -0.1678001; -0.09509996; 1.202142; -0.1168105; 0.002916408; 0.09229495; -1.040244; -0.3756071; 0.01648887; -0.9261006; 
69; 0.68; 0.05752561; 1.839685; 0.04411803; 0.09320657; 1.245393; -0.1678001; -0.09509996; 1.202142; -0.1168105; 0.002916408; 0.09229495; -1.040244; -0.3756071; 0.01648887; -0.9261006; 
70; 0.69; 0.03775972; 1.844462; 0.03854062; 0.08958688; 1.191979; -0.1626588; -0.09929903; 1.2414; -0.1270868; 0.002956254; 0.09240356; -1.040247; -0.3756031; 0.01649029; -0.9260786; 
71; 0.7; 0.02902464; 1.84577; 0.03660968; 0.0902137; 1.180677; -0.1577063; -0.101433; 1.257001; -0.1306796; 0.002926469; 0.09230335; -1.040267; -0.3756059; 0.01648065; -0.9260773; 
72; 0.71; 0.01990991; 1.846924; 0.03498354; 0.09149954; 1.174383; -0.1533; -0.1041384; 1.27347; -0.1344766; 0.002922183; 0.09227671; -1.04025; -0.3756049; 0.01650287; -0.9261068; 
73; 0.72; 0.01049125; 1.84777; 0.03389456; 0.09199686; 1.171085; -0.150398; -0.1071234; 1.290184; -0.1377397; 0.00296818; 0.09238616; -1.040254; -0.3756057; 0.01647995; -0.9260875; 
74; 0.73; 0.001169426; 1.848318; 0.03345046; 0.09148283; 1.168614; -0.1476787; -0.1104073; 1.307315; -0.1406425; 0.002926342; 0.09227806; -1.040238; -0.3756003; 0.01647549; -0.9260839; 
75; 0.74; -0.008162725; 1.84859; 0.03333099; 0.08993458; 1.166569; -0.14504; -0.1130491; 1.323735; -0.1422373; 0.002954517; 0.09238259; -1.040254; -0.3756081; 0.01648412; -0.9260857; 
76; 0.75; -0.01691282; 1.848571; 0.03401906; 0.08742574; 1.166669; -0.1421919; -0.1157914; 1.339464; -0.1435273; 0.002930924; 0.09231859; -1.040266; -0.375601; 0.01648353; -0.92608; 
77; 0.76; -0.02490728; 1.848336; 0.03540805; 0.08464924; 1.169339; -0.1395213; -0.1178489; 1.353789; -0.1444052; 0.002929489; 0.09230243; -1.04028; -0.3756096; 0.01649218; -0.9261038; 
